objectid,parentid,filename,youtubeid,vimeoid,title,creator,date,description,subject,source,identifier,format,language,location,latitude,longitude,type,rights,rightsstatement,object_location,image_small,image_thumb
pic_01,,untlogo.jpg,,,UNT Libraries Logo,University of North Texas Libraries,1890,Logo for UNT Libraries,,"University of North Texas Oral History Program, University of North Texas Special Collections",,image/jpeg,eng,"Denton, Texas",33.21484,-97.133064,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of North Texas Special Collections at specialcollections@unt.edu. ",https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,
coll001,,,,,"Oral History Interview with Drue Calhoun and Margaret Calhoun, March 27, 1979","Jenkins, Floyd ; Calhoun, Drue; Calhoun, Margaret",,"Interview with Drue Calhoun, an early distributor of automatic gas nozzles, and Margaret Calhoun, his wife and business partner, from Gordon, TX. The interview includes Drue Calhoun discissing his early jobs, his move to Denton, his experience operating service stations during the Great Depression, his marriage with Margaret, his service in the Air Force during World War II running maintenance and working in Air Corps Supply in Canada, his venture into the automatic gasoline nozzle industry, the growth and expansion of his business, his wife's role in supporting the business, and their selling of the business to Charles Kregel.",,"University of North Texas Oral History Program, University of North Texas Special Collections",UNTA_U0176-001-012-01,compound_object,eng,"Gordon, Texas",32.5484637,-98.3692161,record,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of North Texas Libraries. For other uses beyond free use, please contact University of North Texas Libraries Special Collections and Archives Department.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,
coll002,coll001,druecalhoun_transcript_compressed.pdf;,,,"Oral History Interview with Drue Calhoun and Margaret Calhoun, March 27, 1979","Jenkins, Floyd ; Calhoun, Drue; Calhoun, Margaret",1979-03-27,"Interview with Drue Calhoun, an early distributor of automatic gas nozzles, and Margaret Calhoun, his wife and business partner, from Gordon, TX. The interview includes Drue Calhoun discissing his early jobs, his move to Denton, his experience operating service stations during the Great Depression, his marriage with Margaret, his service in the Air Force during World War II running maintenance and working in Air Corps Supply in Canada, his venture into the automatic gasoline nozzle industry, the growth and expansion of his business, his wife's role in supporting the business, and their selling of the business to Charles Kregel.",Distributors; Operators; Great Depression; Nozzles; Service stations - Ownership; Agriculture; Oil and Gas; Transportation - Automobiles; Military and War - Personnel - Veterans; Military and War - United States Armed Forces - United States Air Force; Married people; Gasoline,"University of North Texas Oral History Program, University of North Texas Special Collections",UNTA_U0176-001-012-01,application/pdf,eng,"Gordon, Texas",32.5484637,-98.3692161,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of North Texas Libraries. For other uses beyond free use, please contact University of North Texas Libraries Special Collections and Archives Department.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,
coll003,coll001,untlogo.jpg,,,UNT Libraries Logo,University of North Texas Libraries,1890,Logo for UNT Libraries,,"University of North Texas Oral History Program, University of North Texas Special Collections",,image/jpeg,eng,"Denton, Texas",33.21484,-97.133064,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of North Texas Special Collections at specialcollections@unt.edu. ",https://rightsstatements.org/page/NoC-US/1.0/?language=en,/objects/untlogo.jpg,/objects/small/untlogo_small.jpg,/objects/small/untlogo_small.jpg
coll004,,frankcuellar_transcript_compressed.pdf,,,"Oral History Interview Part 1 with Frank Cuellar Sr. , 1978","Jenkins, Floyd ; Cuellar Sr., Frank",1978-07-13,"Interview (Part 1) with Frank Cuellar, Sr., Mexican American entrepreneur and founder of El Chico Corporation, from Dallas, Texas. The interview includes Cuellar discussing his family’s migration from Mexico, their early life in Texas, his memories of farming, preserving food and surviving without modern conveniences, his early work experiences as a hotel worker, and the beginnings of the Cuellar family’s restaurant ventures that later grew into El Chico.",Canning operation; Great Depression; Campbell-Taggert (Firm); Chain restaurant; El Chico Corporation; Food industry and trade; Frozen foods industry; Hispanic American businesspeople; Hispanic Americans; Mexican American Minority Restaurant management; Restaurants; Farms; Agriculture; Government and Law - Texas Laws and Regulation; Social Life and Customs - Food and Cooking - Dining; Mexican American families; Mexican American cooking,"University of North Texas Oral History Program, University of North Texas Special Collections",UNTA_U0176-001-017-01,application/pdf,eng,"Dallas, Texas",32.77626132,-96.78910258,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of North Texas Libraries. For other uses beyond free use, please contact University of North Texas Libraries Special Collections and Archives Department.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,
coll005,,frankcuellar_transcript_compressed.pdf,,,"Oral History Interview Part 2 with Frank Cuellar Sr. , 1978","Jenkins, Floyd ; Cuellar Sr., Frank",1978-08-09,"Interview (Part 2) with Frank Cuellar, Sr., Mexican American entrepreneur and founder of El Chico Corporation, from Dallas, Texas. The interview includes Cuellar discussing the founding of El Chico, the business expansion across Texas and other states, his financial struggles with loans, his philosophy surrounding fair wages and employee relations, his involvement in civic organizations, and thoughts on El Chico as a family legacy.",Canning operation; Great Depression; Campbell-Taggert (Firm); Chain restaurant; El Chico Corporation; Food industry and trade; Frozen foods industry; Hispanic American businesspeople; Hispanic Americans; Mexican American Minority Restaurant management; Farms; Agriculture; Government and Law - Texas Laws and Regulation; Social Life and Customs - Food and Cooking - Dining; Mexican American families; Mexican American cooking,"University of North Texas Oral History Program, University of North Texas Special Collections",UNTA_U0176-001-018,application/pdf,eng,"Dallas, Texas",32.77626132,-96.78910258,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of North Texas Libraries. For other uses beyond free use, please contact University of North Texas Libraries Special Collections and Archives Department.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,
coll006,,margaretclayton_transcript_compressed.pdf,,,"Oral History Interview with Margaret Clayton, April 29, 1982","Jenkins, Floyd ; Clayton, Margaret",1982-04-29,"Interview with Margaret Clayton, the secretary in treasuries of the Anderson Clayton Brothers Funeral Homes, from Forney, Texas. The interview includes Clayton discussing her family and personal background, her involvement with the company, the development with the Anderson-Clayton Funeral Homes business, the differences between funeral practices from the 1930s versus the 1970s, her experience managing the business during WWII shortages, the advantages of having a family business, her views on government regulations on funeral practices, and her community engagement as a funeral worker.","Burials; Civic activities; Trade associations;  Anderson-Clayton Burial Association; Anderson-Clayton Funeral Homes, Inc.; Businesswomen; Great Depression; Family-owned Funeral homes; Undertakers and undertaking - Law and legislation; Women; Military and War - Wars - World War II; Social Life and Customs - Customs - Funerals; Embalming; Funeral rites and ceremonies","University of North Texas Oral History Program, University of North Texas Special Collections",UNTA_U0176-001-015-01,application/pdf,eng,"Forney, Texas",32.74850481,-96.47196529,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of North Texas Libraries. For other uses beyond free use, please contact University of North Texas Libraries Special Collections and Archives Department.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,
coll007,,davispuritybakery_transcript_compressed.pdf,,,"Oral History Interview with Anne Davis and Don Davis, October 7, 1979","Jenkins, Floyd ; Davis, Anne; Davis, Don",1979-10-07,"Interview with Anne Davis and Don Davis, owners and operators of the Davis Purity Bakery from Denton, Texas. The interview includes Anne Davis and Don Davis discussing the history of the Davis Purity Bakery, their experiences and memories with family farming in Abilene, the Great Depression, the founding and operation of Purity Bakery, the changes in baking equipment and techniques, the role of family labor in small business management, the challenges of pricing and inflation in the food industry, and their community connections in Denton.","Policies;  Baked products industry; Bakeries; Businesswomen; Davis Purity Bakery, Inc.; Great Depression; Family-owned Women; Government and Law - Texas Law and Regulations; Military and War - Personnel - Veterans; Social Life and Customs - Families; Texas-Denton; Veteran-owned business enterprises","University of North Texas Oral History Program, University of North Texas Special Collections",UNTA_U0176-001-020-01,application/pdf,eng,"Denton, Texas",33.21484,-97.133064,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of North Texas Libraries. For other uses beyond free use, please contact University of North Texas Libraries Special Collections and Archives Department.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,
coll008,,,,,"Oral History Interview with Claude Edge, March 21, 1982","Jenkins, Floyd ; Edge, Claude",,"Interview (Part 1) with Claude Edge, owner of Lilly Ice Cream Company, in Bryan, Texas. The interview includes Edge discussing his brief career as a teacher in Pioneer, Texas, founding of Lilly Ice Cream with partners John Cameron Webb and Claude A. Allard, employment, the process of making ice cream, competition from other companies, associations with Anheuser-Busch, new refrigeration technology, sanitation laws and federal regulations on ice cream making, hardships brought on by the Great Depression, the switch to Mellorine ice cream, and the growth of business into the 1950s.",,"University of North Texas Oral History Program, University of North Texas Special Collections",,compound_object,eng,"Bryan, Texas",30.66943498,-96.37287475,record,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of North Texas Libraries. For other uses beyond free use, please contact University of North Texas Libraries Special Collections and Archives Department.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,
coll009,coll008,edgeclaude_transcript_compressed.pdf,,,"Oral History Interview with Claude Edge, March 21, 1982","Jenkins, Floyd ; Edge, Claude",1982-03-21,"Interview (Part 1) with Claude Edge, owner of Lilly Ice Cream Company, in Bryan, Texas. The interview includes Edge discussing his brief career as a teacher in Pioneer, Texas, founding of Lilly Ice Cream with partners John Cameron Webb and Claude A. Allard, employment, the process of making ice cream, competition from other companies, associations with Anheuser-Busch, new refrigeration technology, sanitation laws and federal regulations on ice cream making, hardships brought on by the Great Depression, the switch to Mellorine ice cream, and the growth of business into the 1950s.","Lilly Ice Cream Company; Ice cream industry; Dairy products industry; Ice cream, ices, etc.; Great Depression; International Executives Services Corporation; Mellorine; Edge, Claude, 1903- ; Education - Schools - Teachers; Anheuser-Busch Brewing Association","University of North Texas Oral History Program, University of North Texas Special Collections",UNTA_U0176-001-024-01,application/pdf,eng,"Bryan, Texas",30.66943498,-96.37287475,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of North Texas Libraries. For other uses beyond free use, please contact University of North Texas Libraries Special Collections and Archives Department.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,,,
